"구분
Division",,,계,,,,,20세,,,,,30세,,,,,40세,,,,,50세,,,,,60세,,,,,70세,,,,
울        산,합계,S.T,"52,765","43,139","7,318","2,147",161,"2,358","1,801",397,148,12,"7,327","5,517","1,361",421,28,"12,445","9,794","2,061",549,41,"12,767","10,549","1,704",474,40,"12,899","11,069","1,384",417,29,"4,969","4,409",411,138,11
Ulsan,남자,M,"27,907","23,497","3,459",885,66,704,563,103,36,2,"4,599","3,673",727,186,13,"7,009","5,620","1,109",265,15,"6,600","5,650",753,178,19,"6,480","5,699",605,163,13,"2,515","2,292",162,57,4
,여자,F,"24,858","19,642","3,859","1,262",95,"1,654","1,238",294,112,10,"2,728","1,844",634,235,15,"5,436","4,174",952,284,26,"6,167","4,899",951,296,21,"6,419","5,370",779,254,16,"2,454","2,117",249,81,7
세        종,합계,S.T,"14,750","11,654","2,265",779,52,568,430,85,49,4,"2,124","1,581",389,150,4,"4,808","3,654",870,266,18,"3,379","2,705",495,168,11,"2,659","2,232",308,104,15,"1,212","1,052",118,42,0
Sejong,남자,M,"7,625","6,214","1,076",321,14,212,167,32,13,0,"1,153",905,191,56,1,"2,528","1,945",453,127,3,"1,827","1,515",238,71,3,"1,314","1,154",118,35,7,591,528,44,19,0
,여자,F,"7,125","5,440","1,189",458,38,356,263,53,36,4,971,676,198,94,3,"2,280","1,709",417,139,15,"1,552","1,190",257,97,8,"1,345","1,078",190,69,8,621,524,74,23,0
경        기,합계,S.T,"534,858","418,787","85,656","28,272","2,143","24,661","17,503","4,705","2,224",229,"79,089","57,016","16,114","5,583",376,"123,898","91,013","24,538","7,810",537,"130,886","104,720","19,802","5,937",427,"123,830","103,100","15,308","4,997",425,"52,494","45,435","5,189","1,721",149
Gyeonggi,남자,M,"268,556","218,821","38,074","10,897",764,"8,818","6,705","1,433",615,65,"44,600","34,740","7,587","2,153",120,"66,524","49,854","12,736","3,703",231,"65,147","54,096","8,725","2,168",158,"58,714","51,154","5,756","1,673",131,"24,753","22,272","1,837",585,59
,여자,F,"266,302","199,966","47,582","17,375","1,379","15,843","10,798","3,272","1,609",164,"34,489","22,276","8,527","3,430",256,"57,374","41,159","11,802","4,107",306,"65,739","50,624","11,077","3,769",269,"65,116","51,946","9,552","3,324",294,"27,741","23,163","3,352","1,136",90
강        원,합계,S.T,"57,522","46,985","7,721","2,592",224,"2,781","2,005",515,236,25,"7,074","5,331","1,274",434,35,"11,276","8,715","1,860",649,52,"13,215","10,981","1,691",499,44,"15,796","13,463","1,712",573,48,"7,380","6,490",669,201,20
Gangwon,남자,M,"28,393","24,156","3,208",945,84,"1,009",793,140,70,6,"4,243","3,465",611,157,10,"6,016","4,796",921,278,21,"6,619","5,742",679,181,17,"7,159","6,326",613,197,23,"3,347","3,034",244,62,7
,여자,F,"29,129","22,829","4,513","1,647",140,"1,772","1,212",375,166,19,"2,831","1,866",663,277,25,"5,260","3,919",939,371,31,"6,596","5,239","1,012",318,27,"8,637","7,137","1,099",376,25,"4,033","3,456",425,139,13
충        북,합계,S.T,"66,142","53,549","9,246","3,099",248,"3,679","2,817",550,286,26,"9,726","7,138","1,872",671,45,"13,724","10,377","2,475",802,70,"14,966","12,464","1,910",553,39,"16,210","13,777","1,801",588,44,"7,837","6,976",638,199,24
Chungbuk,남자,M,"33,733","28,061","4,326","1,272",74,"1,319","1,040",176,96,7,"6,056","4,732","1,004",310,10,"7,540","5,779","1,343",390,28,"7,508","6,423",857,218,10,"7,553","6,646",707,187,13,"3,757","3,441",239,71,6
,여자,F,"32,409","25,488","4,920","1,827",174,"2,360","1,777",374,190,19,"3,670","2,406",868,361,35,"6,184","4,598","1,132",412,42,"7,458","6,041","1,053",335,29,"8,657","7,131","1,094",401,31,"4,080","3,535",399,128,18
충        남,합계,S.T,"85,753","69,321","12,146","3,994",292,"3,463","2,511",611,314,27,"11,951","8,723","2,373",813,42,"18,912","14,100","3,579","1,157",76,"18,830","15,508","2,498",764,60,"20,986","18,075","2,173",677,61,"11,611","10,404",912,269,26
Chungnam,남자,M,"45,114","37,352","5,930","1,719",113,"1,249",952,197,93,7,"7,642","5,875","1,354",396,17,"10,944","8,218","2,074",615,37,"9,916","8,402","1,197",299,18,"9,914","8,861",799,232,22,"5,449","5,044",309,84,12
,여자,F,"40,639","31,969","6,216","2,275",179,"2,214","1,559",414,221,20,"4,309","2,848","1,019",417,25,"7,968","5,882","1,505",542,39,"8,914","7,106","1,301",465,42,"11,072","9,214","1,374",445,39,"6,162","5,360",603,185,14
전        북,합계,S.T,"74,384","62,802","8,681","2,691",210,"3,940","2,955",670,284,31,"7,560","5,804","1,314",413,29,"13,688","11,068","1,980",599,41,"16,335","13,875","1,873",546,41,"20,002","17,452","1,909",602,39,"12,859","11,648",935,247,29
Jeonbuk,남자,M,"35,898","31,134","3,655","1,030",79,"1,347","1,072",191,78,6,"4,218","3,428",612,171,7,"7,162","5,863","1,015",266,18,"8,039","7,003",802,215,19,"9,101","8,189",685,209,18,"6,031","5,579",350,91,11
,여자,F,"38,486","31,668","5,026","1,661",131,"2,593","1,883",479,206,25,"3,342","2,376",702,242,22,"6,526","5,205",965,333,23,"8,296","6,872","1,071",331,22,"10,901","9,263","1,224",393,21,"6,828","6,069",585,156,18
전        남,합계,S.T,"73,234","63,102","7,681","2,264",187,"3,094","2,375",492,208,19,"7,505","6,002","1,138",346,19,"13,356","10,854","1,951",514,37,"16,464","14,243","1,715",466,40,"20,280","17,998","1,724",511,47,"12,535","11,630",661,219,25
Jeonnam,남자,M,"36,758","32,481","3,336",871,70,"1,052",855,132,58,7,"4,326","3,635",543,143,5,"7,297","6,033","1,028",224,12,"8,485","7,570",728,174,13,"9,680","8,809",667,185,19,"5,918","5,579",238,87,14
,여자,F,"36,476","30,621","4,345","1,393",117,"2,042","1,520",360,150,12,"3,179","2,367",595,203,14,"6,059","4,821",923,290,25,"7,979","6,673",987,292,27,"10,600","9,189","1,057",326,28,"6,617","6,051",423,132,11
경        북,합계,S.T,"103,974","87,105","12,615","3,842",412,"4,228","3,199",710,285,34,"12,403","9,316","2,217",820,50,"20,916","16,385","3,444",985,102,"23,391","19,774","2,784",751,82,"27,141","23,966","2,374",700,101,"15,895","14,465","1,086",301,43
Gyeongbuk,남자,M,"53,226","45,635","5,801","1,607",183,"1,533","1,218",223,81,11,"7,677","6,086","1,177",396,18,"11,750","9,315","1,912",474,49,"11,960","10,424","1,201",297,38,"12,735","11,548",904,240,43,"7,571","7,044",384,119,24
,여자,F,"50,748","41,470","6,814","2,235",229,"2,695","1,981",487,204,23,"4,726","3,230","1,040",424,32,"9,166","7,070","1,532",511,53,"11,431","9,350","1,583",454,44,"14,406","12,418","1,470",460,58,"8,324","7,421",702,182,19
경        남,합계,S.T,"139,774","116,080","17,839","5,407",448,"6,105","4,677",997,400,31,"15,976","12,157","2,865",904,50,"31,967","25,219","5,158","1,497",93,"33,749","28,339","4,139","1,172",99,"35,488","30,819","3,455","1,089",125,"16,489","14,869","1,225",345,50
Gyeongnam,남자,M,"71,494","60,647","8,473","2,207",167,"2,200","1,763",328,100,9,"9,729","7,782","1,555",369,23,"17,613","13,966","2,854",756,37,"17,141","14,754","1,901",453,33,"16,951","15,161","1,343",397,50,"7,860","7,221",492,132,15
,여자,F,"68,280","55,433","9,366","3,200",281,"3,905","2,914",669,300,22,"6,247","4,375","1,310",535,27,"14,354","11,253","2,304",741,56,"16,608","13,585","2,238",719,66,"18,537","15,658","2,112",692,75,"8,629","7,648",733,213,35
제        주,합계,S.T,"24,841","19,279","4,117","1,336",109,"1,143",750,261,122,10,"2,982","2,071",662,233,16,"5,847","4,235","1,189",395,28,"6,378","5,095",962,300,21,"5,714","4,749",737,207,21,"2,777","2,379",306,79,13
Jeju,남자,M,"11,917","9,482","1,849",548,38,323,222,73,25,3,"1,574","1,162",313,93,6,"2,997","2,194",608,187,8,"3,123","2,541",450,125,7,"2,663","2,274",290,91,8,"1,237","1,089",115,27,6
,여자,F,"12,924","9,797","2,268",788,71,820,528,188,97,7,"1,408",909,349,140,10,"2,850","2,041",581,208,20,"3,255","2,554",512,175,14,"3,051","2,475",447,116,13,"1,540","1,290",191,52,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
주 : 주민등록주소지 기준,,,,,,,,,,,,,Note : Based on Resident Registration Address,,,,,,,,,,,,,,,,,,,,,,,,
